"Barcode
,Alt Names/Notes,Name,,MW (g/mol),Chemical Formula,SMILES,Comments,,,,
,3a-Ser,Ser-LCA,,463.659,C27H45NO5,O[C@@H]1CC[C@]2(C)[C@@]3([H])CC[C@]4(C)[C@@H]([C@H](C)CCC(N[C@@H](CO)C(O)=O)=O)CC[C@@]4([H])[C@]3([H])CC[C@@]([H])2C1,1 primary amino group,,,,
,"3a,7b-(Gly)-dimethyl",Gly-UDCA dimethyl,,477.686,C28H47NO5,O[C@@H]1CC[C@]2(C)[C@@]3([H])CC[C@]4(C)[C@@H]([C@H](C)CCC([N+](C)(C)CC([O-])=O)=O)CC[C@@]4([H])[C@]3([H])[C@@H](O)C[C@]2([H])C1,methyls located on amine group of Glycine,,,,
,"3a,7a-(Cysteic Acid)",CDCA-cysteate,,543.716,C27H45NO8S,O=S(C[C@H](NC(CC[C@H]([C@H]1CC[C@]2([C@@]3([C@@H](C[C@@]4(C[C@@H](CC[C@@]4([C@]3(CC[C@]12C)[H])C)O)[H])O)[H])[H])C)=O)C(O)=O)(O)=O,Cysteate + CDCA conjugate,,,,
,"3a,7a-(D-Phe)",D-Phe -CDCA,,539.757,C33H49NO5,O[C@@H]1CC[C@]2(C)[C@@]3([H])CC[C@]4(C)[C@@H]([C@H](C)CCC(N[C@H](CC5=CC=CC=C5)C(O)=O)=O)CC[C@@]4([H])[C@]3([H])[C@H](O)C[C@]2([H])C1,d-Phe + CDCA conjugate,,,,
,"3a,7a-(Cys)","3a,7a cysteine (Cys-CDCA)",,495.719,C27H45NO5S,O[C@@H]1CC[C@]2(C)[C@@]3([H])CC[C@]4(C)[C@@H]([C@H](C)CCC(N[C@@H](CS)C(O)=O)=O)CC[C@@]4([H])[C@]3([H])[C@H](O)C[C@]2([H])C1,"3a, 7a-dihydroxy BA + Cys",,,,
,"3a,7a - Serinol conj.",CDCA-Serinol,,465.675,C27H47NO5,O[C@@H]1CC[C@]2(C)[C@@]3([H])CC[C@]4(C)[C@@H]([C@H](C)CCC(NC(CO)CO)=O)CC[C@@]4([H])[C@]3([H])[C@H](O)C[C@]2([H])C1,"Serinol = 2-amino-1,3-propanediol",,,,
,"3a,12a-(b-Ala) conj.",DCA-b-Ala,,463.659,C27H45NO5,O[C@@H]1CC[C@]2(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(NCCC(O)=O)=O)CC[C@@]4([H])[C@]3([H])CC[C@]2([H])C1,b-Ala = beta-Alanine + DCA conjugate,,,,
,"3a,7b-Taurine 
sodium salt",dimethyl tau UDCA Na salt,,527.761,C28H49NO6S,O[C@@H]1CC[C@]2(C)[C@@]3([H])CC[C@]4(C)[C@@H]([C@H](C)CCC([N+](C)(C)CCS([O-])(=O)=O)=O)CC[C@@]4([H])[C@]3([H])[C@@H](O)C[C@]2([H])C1,methyls are located on the amine group of taurine,MW without sodium,,,
,"3a,7a,12a-(L-Asp)",L-Asp-CA,,523.667,C28H45NO8,O[C@@H]1CC[C@]2(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(N[C@@H](CC(O)=O)C(O)=O)=O)CC[C@@]4([H])[C@@]3([H])[C@H](O)C[C@@]([H])2C1,1 primary amino group,,,,
,"3a,7a,12a-(b-Ala)",b-Ala-CA,,479.658,C27H45NO6,O[C@@H]1CC[C@]2(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(NCCC(O)=O)=O)CC[C@@]4([H])[C@@]3([H])[C@H](O)C[C@@]([H])2C1,1 primary amino group,,,,
,"3a,7a,12a-(D-Val)",D-Val-CA,,507.712,C29H49NO6,O[C@@H]1CC[C@]2(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(N[C@H](C(C)C)C(O)=O)=O)CC[C@@]4([H])[C@@]3([H])[C@H](O)C[C@@]([H])2C1,1 primary amino group,,,,
,"3a,7a,12a-Cysteate sodium salt ",Cysteate-CA-disodium salt,,557.700,C27H45NO9S,O[C@@H]1CC[C@]2(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(N[C@@H](CS(=O)([O-])=O)C([O-])=O)=O)CC[C@@]4([H])[C@@]3([H])[C@H](O)C[C@@]([H])2C1,Cysteate = conjugate base of cysteic acid stabilized by 2 Na+ cations?,"Cysteic Acid
(MW without sodium)",,Work out MW without sodium for Na salts,
,"3a,7a,12a-(Tyr)",Tyr-CA,,571.755,C33H49NO7,O[C@@H]1CC[C@]2(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(N[C@@H](CC5=CC=C(C=C5)O)C(O)=O)=O)CC[C@@]4([H])[C@@]3([H])[C@H](O)C[C@@]([H])2C1,,,,,
,"3a,7a,12a-Histamine",histamine-CA,,501.712,C29H47N3O4,O[C@@H]1CC[C@]2(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(NCCC5=CNC=N5)=O)CC[C@@]4([H])[C@@]3([H])[C@H](O)C[C@@]([H])2C1,Histamine+CA conjugate,,,,
,"3a,7a,12a-glycine-glycerol conjugate","glycineglycerol,CA",,539.710,C29H49NO8,O[C@@H]1CC[C@]2(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(NCC(OCC(O)CO)=O)=O)CC[C@@]4([H])[C@@]3([H])[C@H](O)C[C@@]([H])2C1,Glycerol-Gly-CA conjugate,Glycine,Glycerol = glycerin,,
,"3a,7a,12a-Sarcosine
sodium salt",cholyl sarcosine Na salt,,479.658,C27H45NO6,O[C@@H]1CC[C@@]2([C@]3(C[C@@H]([C@@]4([C@H](CC[C@]4([C@@]3([C@@H](C[C@@]2(C1)[H])O)[H])[H])[C@@H](CCC(N(CC([O-])=O)C)=O)C)C)O)[H])C,Sarcosine ,MW without sodium,,,
,"3a,7a,12a-Aminopropane",cholylaminopropane,,449.676,C27H47NO4,O[C@@H]1CC[C@]2(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(NCCC)=O)CC[C@@]4([H])[C@]3([H])[C@H](O)C[C@@]([H])2C1,Probably CA + aminopropane conjugate,Aminopropane = Propylamine?,,,
,"3a,7a,12a-Meglumine",cholyl-N-methyl-glucamine,,585.779,C31H55NO9,O[C@@H]1CC[C@]2(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(N(C)C[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)=O)CC[C@@]4([H])[C@]3([H])[C@H](O)C[C@@]([H])2C1,N-methyl-glucamine (aka Meglumine),,,,
,"3a,7a,12a-glucosamide",cholyl-glucosamide,,569.736,C30H51NO9,O[C@@H]1CC[C@]2(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(N[C@@H](C(O)O5)[C@@H](O)[C@H](O)[C@H]5CO)=O)CC[C@@]4([H])[C@]3([H])[C@H](O)C[C@@]([H])2C1,glucosamide = cyclized glucose attached to amine,Glucosamine (cyclized),,,
,,,,,,,,,,,
,ALT Conjugated Bile Acids,,,,,,,,,,
,Status,Name,,MW (g/mol),Chemical Formula,SMILES,Comments,,,,
,Good amount,"10mm Leu-Chol, 50% MeOH",,521.739,C30H51NO6,O[C@@H]1CC[C@]2(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(N[C@@H](CC(C)C)C(O)=O)=O)CC[C@@]4([H])[C@]3([H])[C@H](O)C[C@@]([H])2C1,,,,,
,Almost empty,Cholic Acid - Leu (1),,521.739,,,,,,,
,Empty,Cholic Acid - Leu (2),,521.739,,,,,,,
,Almost empty,Cholic Acid L-Serine (Dirty),,495.657,C27H45NO7,O[C@@H]1CC[C@]2(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(N[C@@H](CO)C(O)=O)=O)CC[C@@]4([H])[C@]3([H])[C@H](O)C[C@@]([H])2C1,,,,,
,Good amount,Cholic Acid - Tyr (1) ,,571.755,C33H49NO7,O[C@@H]1CC[C@]2(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(N[C@@H](CC5=CC=C(C=C5)O)C(O)=O)=O)CC[C@@]4([H])[C@]3([H])[C@H](O)C[C@@]([H])2C1,,,,,
,Almost empty,Cholic Acid - Tyr (2),,571.755,,,,,,,
,Good amount,"10mm Tyr-Chol, 50% MeOH",,571.755,,,,,,,
,Almost empty,Cholic Acid L-Phe 18C,,555.756,C33H49NO6,O[C@@H]1CC[C@]2(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(N[C@@H](CC5=CC=CC=C5)C(O)=O)=O)CC[C@@]4([H])[C@]3([H])[C@H](O)C[C@@]([H])2C1,,,,,
,Almost empty,Cholic Acid - Phe (1),,555.756,,,,,,,
,Empty,Cholic Acid - Phe (2),,555.756,,,,,,,
,Good amount,Cholic - Phe 1mm,,555.756,,,,,,,
,Empty,Tyr-Nia,,,,,Ignore for now,,,,
,Empty,1mm MCA-Leu,,521.739,C30H51NO6,OC1CC[C@@]2([C@]3(CC[C@@]4([C@H](CC[C@]4([C@@]3(C(C([C@@]2(C1)[H])O)O)[H])[H])[C@@H](CCC(N[C@H](C(O)=O)CC(C)C)=O)C)C)[H])C,"stereochem not in SMILES because not specified, muricholic acid has diff isomers ",,,,
,Empty,1mm MCA-Ile,,521.739,C30H51NO6,OC1CC[C@@]2([C@]3(CC[C@@]4([C@H](CC[C@]4([C@@]3(C(C([C@@]2(C1)[H])O)O)[H])[H])[C@@H](CCC(N[C@H](C(O)=O)[C@H](CC)C)=O)C)C)[H])C,,,,,
,Empty,Phe-MCA,,555.756,C33H49NO6,OC1CC[C@@]2([C@]3(CC[C@@]4([C@H](CC[C@]4([C@@]3(C(C([C@@]2(C1)[H])O)O)[H])[H])[C@@H](CCC(N[C@H](C(O)=O)CC5=CC=CC=C5)=O)C)C)[H])C,,,,,
,,,,,,,,,,,
,Emily's Hydroxy FA's,,,,,,,,,,
,Status,Name,,MW (g/mol),Chemical Formula,SMILES,Comments,,,,
,---,12-Hydroxy Stearic Acid,,300.483,C18H36O3,CCCCCCC(O)CCCCCCCCCCC(O)=O,Cayman Chem. #34558,,,,
,---,3-Hydroxy Heptadecanoic Acid,,286.456,C17H34O3,OC(CC(O)CCCCCCCCCCCCCC)=O,Cayman Chem. #28735,,,,
,Empty,3-Hydroxy Tridecanoic Acid,,230.348,C13H26O3,OC(CC(O)CCCCCCCCCC)=O,Cayman Chem. #22689,Blue = fixed mistakes,,,
,---,15-Hydroxy Pentadecanoic Acid,,258.402,C15H30O3,OCCCCCCCCCCCCCCC(O)=O,Cayman Chem. #24648,,,,
,Empty,3-Hydroxy Octanoic Acid,,160.213,C8H16O3,OC(CC(O)CCCCC)=O,Cayman Chem. #24609,,,,
,---,3-Hydroxy Undecanoic Acid,,202.294,C11H22O3,OC(CC(O)CCCCCCCC)=O,Cayman Chem. #24640,,,,
,---,16-Hydroxy Hexadecanoic Acid,,272.429,C16H32O3,C(CCCCCCCC(=O)O)CCCCCCCO,Cayman Chem. #9000789,,,,
,Empty,3-Hydroxy Lauric Acid,,216.321,C12H24O3,CCCCCCCCCC(O)CC(O)=O,Cayman Chem. #24642,,,,
,---,2-Hydroxy Docosanoic Acid,,356.591,C22H44O3,CCCCCCCCCCCCCCCCCCCCC(O)C(O)=O,Cayman Chem. #24594,,,,
,Empty,2-Hydroxy Myristic Acid,,244.375,C14H28O3,CCCCCCCCCCCCC(O)C(=O)O,Cayman Chem. #90390,,,,
,---,3-Hydroxy Nonanoic Acid,,174.240,C9H18O3,OC(CC(O)CCCCCC)=O,Cayman Chem. #24611,,,,
,Empty,3-Hydroxy Decanoic Acid,,188.267,C10H20O3,OC(CC(O)CCCCCCC)=O,Cayman Chem. #24613,,,,
,---,Ricineloic Acid,,298.467,C18H34O3,CCCCCC[C@@H](O)C/C=C\CCCCCCCC(=O)O,Cayman Chem. #10009369,,,,
,Empty,13(Z)-Docosenoic Acid,,338.576,C22H42O2,CCCCCCCC/C=C\CCCCCCCCCCCC(=O)O,Cayman Chem. #90175,,,,
,Empty,3-Hydroxy Hexanoic Acid,,132.159,C6H12O3,OC(CC(O)CCC)=O,Cayman Chem. #24607,,,,
,---,3-Hydroxy Palmitic Acid,,272.429,C16H32O3,CCCCCCCCCCCCCC(O)CC(O)=O,Cayman Chem. #19934,,,,
